fpl_player_id,opta_code,player_name,web_name,club,position,minutes,starts,goals,assists,xg,xa,xg_p90,xa_p90,expected_goal_involvements,expected_goal_involvements_p90,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,influence,creativity,threat,form,selected_by_percent,now_cost,status,source_provider
10,p198869,Benjamin White,White,Arsenal,Defender,315,4,0.0,1.0,0.18,0.29,0.05,0.08,0.47,0.13,12,9,6,18,65.4,52.2,23.0,5.2,6.9,5.5,a,fpl
11,p500040,Cristhian Mosquera,Mosquera,Arsenal,Defender,168,2,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,10,3,0,10,24.6,2.0,0.0,3.0,2.1,5.4,d,fpl
31,p199798,Ezri Konsa Ngoyo,Konsa,Arsenal,Defender,191,2,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,14,6,5,19,22.6,1.5,4.0,2.8,17.7,4.5,a,fpl
4,p226597,Gabriel dos Santos Magalhães,Gabriel,Arsenal,Defender,360,4,0.0,0.0,0.51,0.06,0.13,0.02,0.57,0.15,29,13,3,32,48.4,7.4,83.0,6.0,23.6,8.0,a,fpl
5,p445122,Jurriën Timber,J.Timber,Arsenal,Defender,45,0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.02,2,5,1,3,0.0,0.0,0.0,0.2,0.2,6.5,a,fpl
9,p448104,Piero Hincapié,Hincapie,Arsenal,Defender,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,3,6.4,1.0,2.0,0.5,1.0,5.3,a,fpl
8,p466075,Riccardo Calafiori,Calafiori,Arsenal,Defender,326,4,0.0,2.0,0.6,0.59,0.17,0.16,1.19,0.33,10,8,3,13,51.6,27.3,39.0,7.0,49.9,5.8,a,fpl
6,p462424,William Saliba,Saliba,Arsenal,Defender,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,5.9,i,fpl
27,p205651,Gabriel Fernando de Jesus,G.Jesus,Arsenal,Forward,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,5.9,u,fpl
26,p219847,Kai Havertz,Havertz,Arsenal,Forward,347,4,2.0,0.0,0.89,0.35,0.23,0.09,1.24,0.32,4,6,0,10,82.6,53.6,105.0,4.2,8.0,7.6,a,fpl
