provider_player_id,player_name,season,competition,club,position_raw,position,matches,minutes,goals,xg,non_penalty_goals,non_penalty_xg,assists,xa,shots,key_passes,xg_chain,xg_buildup,goals_p90,xg_p90,assists_p90,xa_p90,shots_p90,key_passes_p90,xg_chain_p90,xg_buildup_p90,source_provider
534,Aaron Cresswell,2021-2022,ENG-Premier League,West Ham,D,Defender,31,2734,2.0,0.9124,2.0,0.9124,3.0,3.6706,18.0,31.0,10.5437,9.6247,0.0658,0.03,0.0988,0.1208,0.5925,1.0205,0.3471,0.3168,understat
7699,Adam Webster,2021-2022,ENG-Premier League,Brighton,D S,Defender,22,1419,2.0,1.4867,2.0,1.4867,0.0,0.0369,8.0,1.0,3.1694,3.1523,0.1268,0.0943,0.0,0.0023,0.5074,0.0634,0.201,0.1999,understat
1828,Alex Telles,2021-2022,ENG-Premier League,Manchester United,D S,Defender,21,1659,0.0,0.4515,0.0,0.4515,4.0,2.167,10.0,26.0,7.5149,6.4593,0.0,0.0245,0.217,0.1176,0.5425,1.4105,0.4077,0.3504,understat
200,Andreas Christensen,2021-2022,ENG-Premier League,Chelsea,D S,Defender,19,1499,0.0,0.799,0.0,0.799,0.0,0.1927,5.0,6.0,8.3028,8.2916,0.0,0.048,0.0,0.0116,0.3002,0.3602,0.4985,0.4978,understat
1688,Andrew Robertson,2021-2022,ENG-Premier League,Liverpool,D,Defender,29,2550,3.0,2.2712,3.0,2.2712,10.0,6.1975,19.0,55.0,18.6197,14.2774,0.1059,0.0802,0.3529,0.2187,0.6706,1.9412,0.6572,0.5039,understat
528,Angelo Ogbonna,2021-2022,ENG-Premier League,West Ham,D,Defender,11,921,1.0,0.6117,1.0,0.6117,0.0,0.0,3.0,0.0,1.0062,0.9552,0.0977,0.0598,0.0,0.0,0.2932,0.0,0.0983,0.0933,understat
1822,Antonio Rüdiger,2021-2022,ENG-Premier League,Chelsea,D,Defender,34,3036,3.0,2.6755,3.0,2.6755,0.0,0.7367,48.0,12.0,17.8128,17.0052,0.0889,0.0793,0.0,0.0218,1.4229,0.3557,0.528,0.5041,understat
934,Axel Tuanzebe,2021-2022,ENG-Premier League,Aston Villa,D S,Defender,9,507,0.0,0.1549,0.0,0.1549,0.0,0.0,2.0,0.0,0.8888,0.8888,0.0,0.0275,0.0,0.0,0.355,0.0,0.1578,0.1578,understat
2498,Aymeric Laporte,2021-2022,ENG-Premier League,Manchester City,D,Defender,33,2848,4.0,4.4545,4.0,4.4545,0.0,0.6116,35.0,9.0,18.6375,18.2206,0.1264,0.1408,0.0,0.0193,1.106,0.2844,0.589,0.5758,understat
660,Ben Davies,2021-2022,ENG-Premier League,Tottenham,D S,Defender,29,2542,1.0,2.4761,1.0,2.4761,1.0,0.6462,18.0,11.0,13.4935,12.4854,0.0354,0.0877,0.0354,0.0229,0.6373,0.3895,0.4777,0.442,understat
1707,Ben Gibson,2021-2022,ENG-Premier League,Norwich,D,Defender,28,2496,0.0,1.3601,0.0,1.3601,0.0,0.1156,8.0,3.0,4.1141,4.0749,0.0,0.049,0.0,0.0042,0.2885,0.1082,0.1483,0.1469,understat
7689,Ben Godfrey,2021-2022,ENG-Premier League,Everton,D,Defender,23,2034,0.0,1.3013,0.0,1.3013,0.0,0.707,18.0,12.0,2.7757,2.2781,0.0,0.0576,0.0,0.0313,0.7965,0.531,0.1228,0.1008,understat
6424,Ben Johnson,2021-2022,ENG-Premier League,West Ham,D S,Defender,20,1402,1.0,0.1485,1.0,0.1485,0.0,0.5554,5.0,9.0,4.078,3.7417,0.0642,0.0095,0.0,0.0357,0.321,0.5777,0.2618,0.2402,understat
1654,Ben Mee,2021-2022,ENG-Premier League,Burnley,D,Defender,21,1839,3.0,2.5611,3.0,2.5611,0.0,1.275,19.0,5.0,2.5687,2.48,0.1468,0.1253,0.0,0.0624,0.9299,0.2447,0.1257,0.1214,understat
7298,Ben White,2021-2022,ENG-Premier League,Arsenal,D,Defender,32,2880,0.0,0.6877,0.0,0.6877,0.0,1.1922,12.0,13.0,10.001,9.3364,0.0,0.0215,0.0,0.0373,0.375,0.4062,0.3125,0.2918,understat
8075,Brandon Williams,2021-2022,ENG-Premier League,Norwich,D S,Defender,26,2120,0.0,0.1553,0.0,0.1553,1.0,1.9217,4.0,21.0,4.284,3.1663,0.0,0.0066,0.0425,0.0816,0.1698,0.8915,0.1819,0.1344,understat
5264,Caglar Söyüncü,2021-2022,ENG-Premier League,Leicester,D,Defender,28,2500,1.0,1.0081,1.0,1.0081,0.0,0.0874,8.0,3.0,5.9092,5.8219,0.036,0.0363,0.0,0.0031,0.288,0.108,0.2127,0.2096,understat
6044,Charlie Taylor,2021-2022,ENG-Premier League,Burnley,D S,Defender,31,2729,0.0,0.1939,0.0,0.1939,3.0,3.4197,7.0,20.0,6.8722,4.5548,0.0,0.0064,0.0989,0.1128,0.2309,0.6596,0.2266,0.1502,understat
1725,Christian Kabasele,2021-2022,ENG-Premier League,Watford,D S,Defender,16,1188,0.0,1.3147,0.0,1.3147,0.0,0.1767,7.0,2.0,0.7724,0.7071,0.0,0.0996,0.0,0.0134,0.5303,0.1515,0.0585,0.0536,understat
875,Ciaran Clark,2021-2022,ENG-Premier League,Newcastle United,D S,Defender,13,1011,0.0,1.0102,0.0,1.0102,1.0,0.1965,7.0,4.0,1.7617,1.6704,0.0,0.0899,0.089,0.0175,0.6231,0.3561,0.1568,0.1487,understat
5568,Connor Roberts,2021-2022,ENG-Premier League,Burnley,D S,Defender,21,1686,1.0,0.2226,1.0,0.2226,1.0,1.1593,6.0,13.0,3.6432,2.4139,0.0534,0.0119,0.0534,0.0619,0.3203,0.694,0.1945,0.1289,understat
6851,Conor Coady,2021-2022,ENG-Premier League,Wolverhampton Wanderers,D,Defender,38,3369,4.0,2.3265,4.0,2.3265,0.0,0.0783,12.0,3.0,5.3487,5.3224,0.1069,0.0621,0.0,0.0021,0.3206,0.0801,0.1429,0.1422,understat
581,Craig Cathcart,2021-2022,ENG-Premier League,Watford,D S,Defender,31,2395,0.0,0.1615,0.0,0.1615,1.0,1.4213,3.0,3.0,1.9475,1.9475,0.0,0.0061,0.0376,0.0534,0.1127,0.1127,0.0732,0.0732,understat
804,Craig Dawson,2021-2022,ENG-Premier League,West Ham,D S,Defender,34,2760,2.0,2.9424,2.0,2.9424,2.0,1.0429,25.0,5.0,5.0172,4.9214,0.0652,0.0959,0.0652,0.034,0.8152,0.163,0.1636,0.1605,understat
7218,Cristian Romero,2021-2022,ENG-Premier League,Tottenham,D S,Defender,22,1850,1.0,0.4115,1.0,0.4115,0.0,0.3777,6.0,6.0,9.463,9.0533,0.0486,0.02,0.0,0.0184,0.2919,0.2919,0.4604,0.4404,understat
847,Cédric Soares,2021-2022,ENG-Premier League,Arsenal,D S,Defender,21,1483,1.0,0.4897,1.0,0.4897,1.0,1.5193,12.0,18.0,5.3501,4.6193,0.0607,0.0297,0.0607,0.0922,0.7283,1.0924,0.3247,0.2803,understat
7382,Dan Burn,2021-2022,ENG-Premier League,"Brighton,Newcastle United",D S,Defender,29,2465,1.0,1.6115,1.0,1.6115,1.0,1.4532,18.0,6.0,2.9699,2.9461,0.0365,0.0588,0.0365,0.0531,0.6572,0.2191,0.1084,0.1076,understat
759,Daniel Amartey,2021-2022,ENG-Premier League,Leicester,D S,Defender,28,2111,0.0,0.0229,0.0,0.0229,0.0,0.2451,2.0,4.0,4.305,4.2821,0.0,0.001,0.0,0.0104,0.0853,0.1705,0.1835,0.1826,understat
641,Danny Rose,2021-2022,ENG-Premier League,Watford,D S,Defender,8,692,0.0,0.1566,0.0,0.1566,0.0,0.6318,4.0,5.0,1.551,0.8792,0.0,0.0204,0.0,0.0822,0.5202,0.6503,0.2017,0.1143,understat
6249,Davinson Sánchez,2021-2022,ENG-Premier League,Tottenham,D S,Defender,23,1618,2.0,2.0042,2.0,2.0042,0.0,0.292,13.0,5.0,7.7106,7.4833,0.1112,0.1115,0.0,0.0162,0.7231,0.2781,0.4289,0.4163,understat
2163,Diego Llorente,2021-2022,ENG-Premier League,Leeds,D,Defender,28,2351,3.0,1.9779,3.0,1.9779,0.0,0.0478,10.0,2.0,2.1757,2.1757,0.1148,0.0757,0.0,0.0018,0.3828,0.0766,0.0833,0.0833,understat
9745,Dimitris Giannoulis,2021-2022,ENG-Premier League,Norwich,D S,Defender,18,1170,0.0,0.1043,0.0,0.1043,1.0,0.5381,2.0,9.0,2.3208,1.8955,0.0,0.008,0.0769,0.0414,0.1538,0.6923,0.1785,0.1458,understat
7281,Diogo Dalot,2021-2022,ENG-Premier League,Manchester United,D S,Defender,24,1790,0.0,0.6603,0.0,0.6603,0.0,0.8457,13.0,16.0,7.871,6.7551,0.0,0.0332,0.0,0.0425,0.6536,0.8045,0.3957,0.3396,understat
7430,Emerson,2021-2022,ENG-Premier League,Tottenham,D S,Defender,31,2296,1.0,2.0201,1.0,2.0201,1.0,2.4506,15.0,28.0,12.5767,9.2611,0.0392,0.0792,0.0392,0.0961,0.588,1.0976,0.493,0.363,understat
1545,Emil Krafth,2021-2022,ENG-Premier League,Newcastle United,D S,Defender,20,1636,0.0,0.2296,0.0,0.2296,1.0,1.0393,6.0,6.0,3.7981,3.6668,0.0,0.0126,0.055,0.0572,0.3301,0.3301,0.2089,0.2017,understat
643,Eric Dier,2021-2022,ENG-Premier League,Tottenham,D,Defender,35,3071,0.0,1.5635,0.0,1.5635,0.0,1.3193,14.0,8.0,15.4362,14.8242,0.0,0.0458,0.0,0.0387,0.4103,0.2345,0.4524,0.4344,understat
887,Erik Pieters,2021-2022,ENG-Premier League,Burnley,D S,Defender,12,722,0.0,0.1499,0.0,0.1499,1.0,0.7618,7.0,2.0,2.1208,1.2565,0.0,0.0187,0.1247,0.095,0.8726,0.2493,0.2644,0.1566,understat
9678,Ethan Pinnock,2021-2022,ENG-Premier League,Brentford,D,Defender,32,2701,1.0,1.7465,1.0,1.7465,1.0,1.7245,16.0,12.0,6.1848,4.2751,0.0333,0.0582,0.0333,0.0575,0.5331,0.3999,0.2061,0.1425,understat
7726,Ezri Konsa Ngoyo,2021-2022,ENG-Premier League,Aston Villa,D,Defender,29,2494,2.0,1.2069,2.0,1.2069,0.0,0.2707,14.0,4.0,4.5428,4.2916,0.0722,0.0436,0.0,0.0098,0.5052,0.1443,0.1639,0.1549,understat
76,Fabian Schär,2021-2022,ENG-Premier League,Newcastle United,D,Defender,25,2167,2.0,0.8395,2.0,0.8395,2.0,1.4793,20.0,9.0,3.3704,2.8303,0.0831,0.0349,0.0831,0.0614,0.8306,0.3738,0.14,0.1175,understat
708,Federico Fernández,2021-2022,ENG-Premier League,Newcastle United,D S,Defender,7,523,0.0,0.3371,0.0,0.3371,0.0,0.2842,6.0,1.0,0.5563,0.272,0.0,0.058,0.0,0.0489,1.0325,0.1721,0.0957,0.0468,understat
5708,Fernando Marçal,2021-2022,ENG-Premier League,Wolverhampton Wanderers,D S,Defender,18,1468,0.0,0.6045,0.0,0.6045,0.0,0.7217,11.0,10.0,3.9283,3.2729,0.0,0.0371,0.0,0.0442,0.6744,0.6131,0.2408,0.2007,understat
5613,Gabriel,2021-2022,ENG-Premier League,Arsenal,D,Defender,35,3075,5.0,3.5427,5.0,3.5427,0.0,0.2485,29.0,8.0,11.8042,11.4124,0.1463,0.1037,0.0,0.0073,0.8488,0.2341,0.3455,0.334,understat
7690,Grant Hanley,2021-2022,ENG-Premier League,Norwich,D,Defender,33,2899,1.0,1.6962,1.0,1.6962,0.0,0.3979,20.0,6.0,3.5522,3.4606,0.031,0.0527,0.0,0.0124,0.6209,0.1863,0.1103,0.1074,understat
1687,Harry Maguire,2021-2022,ENG-Premier League,Manchester United,D S,Defender,30,2518,1.0,2.2377,1.0,2.2377,0.0,0.1432,23.0,4.0,7.958,7.6964,0.0357,0.08,0.0,0.0051,0.8221,0.143,0.2844,0.2751,understat
3729,Hassane Kamara,2021-2022,ENG-Premier League,Watford,D S,Defender,19,1627,1.0,0.1644,1.0,0.1644,0.0,0.6611,5.0,10.0,3.0576,2.6923,0.0553,0.0091,0.0,0.0366,0.2766,0.5532,0.1691,0.1489,understat
6326,Ibrahima Konaté,2021-2022,ENG-Premier League,Liverpool,D,Defender,11,990,0.0,0.2052,0.0,0.2052,0.0,0.0,4.0,0.0,3.7583,3.7583,0.0,0.0187,0.0,0.0,0.3636,0.0,0.3417,0.3417,understat
3203,Issa Diop,2021-2022,ENG-Premier League,West Ham,D S,Defender,13,964,0.0,0.0563,0.0,0.0563,1.0,0.2918,2.0,1.0,2.0276,1.7358,0.0,0.0053,0.0934,0.0272,0.1867,0.0934,0.1893,0.1621,understat
