player_id,player_name,position,age,club,season,goals_p90,xg_p90,assists_p90,xa_p90,shots_p90,key_passes_p90,pass_accuracy_pct,dribbles_p90,tackles_interceptions_p90,clearances_p90,progressive_passes_p90
1,Alexis Mac Allister,Midfielder,31,Liverpool,2025-2026,0.28,0.18,0.08,0.27,1.34,1.96,91.6,0.9,3.01,1.46,9.99
2,Andy Robertson,Defender,34,Liverpool,2025-2026,0.19,0.11,0.11,0.06,0.02,0.75,88.2,0.38,4.12,5.39,3.23
3,Trent Alexander-Arnold,Defender,26,Liverpool,2021-2022,0.11,0.13,0.17,0.05,0.26,0.75,75.2,0.71,4.05,3.94,2.27
4,Dele Alli,Midfielder,31,Everton,2024-2025,0.22,0.17,0.35,0.23,1.8,2.6,82.9,1.27,3.31,1.28,6.6
5,Teemu Pukki,Forward,34,Norwich,2021-2022,0.35,0.73,0.04,0.21,5.17,,75.2,1.87,0.7,0.08,3.58
6,Odsonne Édouard,Forward,29,Crystal Palace,2024-2025,1.02,0.65,0.3,0.29,2.72,1.37,71.1,2.62,0.62,0.79,3.47
7,Rúben Dias,Defender,29,Man City,2023-2024,0.15,,0.08,0.11,0.94,0.64,81.7,0.4,3.88,5.03,5.06
8,Fabinho,Midfielder,35,Liverpool,2024-2025,0.26,0.23,0.32,0.18,1.05,2.84,78.3,2.13,3.32,1.27,7.42
9,Phil Foden,Winger,27,Man City,2025-2026,0.37,0.38,0.37,0.3,1.31,1.34,87.6,3.09,1.33,0.47,4.87
10,Ilkay Gündogan,Midfielder,36,Man City,2023-2024,0.21,0.1,0.15,0.1,1.62,2.38,86.9,2.37,2.58,,9.48
11,Timo Werner,Winger,28,Tottenham,2021-2022,0.44,0.29,0.41,0.21,3.39,3.38,78.4,2.8,1.93,1.07,4.22
12,Phil Foden,Winger,25,Man City,2022-2023,0.48,0.37,0.36,0.18,2.73,1.23,80.8,3.32,1.42,0.69,4.57
13,Ferran Torres,Winger,26,Man City,2024-2025,0.42,0.34,0.12,0.2,3.44,2.03,93.0,1.79,1.35,0.52,6.46
14,Boubacar Kamara,Midfielder,25,Aston Villa,2021-2022,0.26,0.11,0.25,0.2,1.41,1.63,80.2,2.56,2.12,0.7,3.62
15,William Saliba,Defender,25,Arsenal,2023-2024,0.04,0.04,0.15,0.11,0.38,0.79,84.4,0.3,3.04,7.7,4.3
16,Murillo,Defender,23,Nottingham Forest,2023-2024,0.19,0.04,0.14,0.12,0.65,0.44,83.5,0.32,3.05,5.81,4.54
17,Thomas Partey,Midfielder,32,Arsenal,2022-2023,0.16,0.07,0.31,0.32,1.43,2.59,80.8,2.13,3.13,1.26,9.28
18,Jarrod Bowen,Winger,31,West Ham,2023-2024,0.23,0.39,0.18,0.23,2.77,3.03,76.7,2.48,0.75,0.64,6.63
19,Erling Haaland,Forward,27,Man City,2024-2025,0.56,0.52,0.23,0.0,2.23,0.41,85.9,0.93,0.64,0.84,4.89
20,Jan Paul van Hecke,Defender,27,Brighton,2024-2025,0.22,0.13,0.14,0.06,0.13,0.55,87.1,1.01,6.2,4.9,6.13
21,Yankuba Minteh,Winger,24,Brighton,2025-2026,0.53,0.49,0.4,0.16,2.02,1.31,72.7,4.72,0.65,0.31,4.27
22,Cole Palmer,Winger,25,Chelsea,2024-2025,0.62,0.53,0.26,0.2,2.26,1.85,85.7,4.97,0.64,0.68,8.57
23,Marc Guéhi,Defender,28,Crystal Palace,2024-2025,0.22,0.12,0.04,0.11,0.27,0.3,90.4,0.34,4.06,3.66,6.94
24,Manuel Benson,Winger,30,Burnley,2025-2026,0.36,0.31,0.29,0.26,3.46,1.28,80.1,3.89,0.88,0.94,6.23
25,Moisés Caicedo,Midfielder,25,Chelsea,2023-2024,0.2,0.12,0.38,0.28,1.5,2.15,83.6,0.97,3.4,1.61,5.06
26,Thiago Silva,Defender,38,Chelsea,2021-2022,0.11,0.04,0.06,0.02,0.73,1.42,78.7,0.61,5.61,4.4,5.13
27,Trent Alexander-Arnold,Defender,28,Liverpool,2022-2023,0.12,0.08,0.17,0.06,0.57,0.48,85.9,1.09,4.41,4.35,6.15
